epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2769,3.94811,5.74485,2.25544,0.94121,0.20948,0.26161,0.16347,3.22427,4.58339,1.98474,0.000471372,0.000471372,0.000471372
2,39.2803,3.30616,3.34814,2.01355,0.5988,0.24714,0.22881,0.11502,3.48341,3.19141,2.16309,0.000938323,0.000938323,0.000938323
3,54.8714,3.17087,2.88487,1.99071,0.60964,0.27449,0.2582,0.12542,3.90834,3.01531,2.29015,0.00139584,0.00139584,0.00139584
4,67.7852,3.0721,2.54634,1.96088,0.38181,0.45052,0.35691,0.15667,4.14519,2.84297,2.36469,0.00138656,0.00138656,0.00138656
5,79.6858,2.97312,2.28774,1.92684,0.47665,0.48654,0.42475,0.24048,3.41015,2.76341,2.1692,0.00137241,0.00137241,0.00137241
6,91.9705,2.98453,2.21573,1.94068,0.47782,0.51166,0.46471,0.27607,3.18832,2.3351,2.01894,0.00135826,0.00135826,0.00135826
7,103.477,2.91132,2.10326,1.92706,0.37018,0.40484,0.30892,0.14148,4.1826,3.36655,2.50855,0.00134412,0.00134412,0.00134412
8,117.861,2.82703,1.97522,1.9024,0.35719,0.4963,0.3414,0.18624,3.66348,3.05466,2.28986,0.00132997,0.00132997,0.00132997
9,130.209,2.80543,1.9314,1.89571,0.42908,0.43004,0.35896,0.17763,4.35738,3.62422,2.43263,0.00131582,0.00131582,0.00131582
10,141.641,2.74189,1.84675,1.87847,0.48337,0.54838,0.46072,0.24948,3.71678,2.30371,2.29307,0.00130168,0.00130168,0.00130168
11,153.954,2.7007,1.79659,1.88147,0.50362,0.45014,0.39282,0.21501,3.5676,3.18962,2.25331,0.00128753,0.00128753,0.00128753
12,166.216,2.7558,1.76051,1.88316,0.59767,0.59003,0.57714,0.37213,3.01509,2.41339,2.01416,0.00127338,0.00127338,0.00127338
13,177.778,2.67264,1.71897,1.86675,0.43555,0.54019,0.4487,0.22761,4.0198,2.78974,2.43939,0.00125923,0.00125923,0.00125923
14,190.211,2.63785,1.67722,1.85773,0.64197,0.6006,0.62212,0.37395,3.07087,2.05116,2.02083,0.00124509,0.00124509,0.00124509
15,201.967,2.59318,1.63666,1.85224,0.61842,0.63358,0.63403,0.38835,3.04733,1.88611,2.00104,0.00123094,0.00123094,0.00123094
16,213.807,2.55306,1.61034,1.83953,0.65736,0.62387,0.66269,0.43161,2.67819,1.82971,1.90173,0.00121679,0.00121679,0.00121679
17,226.512,2.56733,1.58386,1.84497,0.58955,0.5696,0.57447,0.32348,3.65766,2.33357,2.25255,0.00120265,0.00120265,0.00120265
18,238.634,2.51967,1.54157,1.83288,0.74434,0.69218,0.74387,0.50025,2.46807,1.55141,1.82757,0.0011885,0.0011885,0.0011885
19,250.262,2.54593,1.56604,1.83954,0.6436,0.59312,0.62433,0.40412,2.89571,2.0863,1.96183,0.00117435,0.00117435,0.00117435
20,262.044,2.49684,1.50533,1.82872,0.53291,0.62763,0.57799,0.36359,3.08787,2.10146,2.05962,0.00116021,0.00116021,0.00116021
