epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7361,3.81844,5.59623,2.2446,0.9752,0.15098,0.25953,0.16817,3.09021,4.92394,1.99285,0.000471372,0.000471372,0.000471372
2,34.6438,3.04948,3.2005,1.95712,0.32128,0.35326,0.3378,0.1998,3.04251,2.54993,1.99519,0.000938323,0.000938323,0.000938323
3,45.6714,3.00817,2.79274,1.94468,0.31932,0.41468,0.30209,0.14887,3.70048,3.05151,2.2046,0.00139584,0.00139584,0.00139584
4,58.2788,2.89032,2.43777,1.9174,0.62826,0.60881,0.61287,0.39875,2.84718,2.22724,1.90779,0.00138656,0.00138656,0.00138656
5,69.0759,2.80177,2.21621,1.89199,0.51889,0.51938,0.50189,0.28514,3.48088,2.41492,2.15161,0.00137241,0.00137241,0.00137241
6,79.3897,2.72993,2.02201,1.87963,0.60505,0.55343,0.58791,0.37684,2.74895,2.0904,1.90639,0.00135826,0.00135826,0.00135826
7,90.2496,2.66231,1.92035,1.86375,0.70525,0.64985,0.68618,0.4585,2.55883,1.67165,1.85622,0.00134412,0.00134412,0.00134412
8,101.279,2.73049,1.87346,1.88171,0.47272,0.55797,0.47126,0.28138,3.33685,2.50867,1.9895,0.00132997,0.00132997,0.00132997
9,112.089,2.58266,1.76364,1.84243,0.6246,0.67871,0.6445,0.42737,2.49282,1.68852,1.83389,0.00131582,0.00131582,0.00131582
10,122.525,2.57539,1.72166,1.8471,0.73009,0.7125,0.7528,0.49339,2.41266,1.47022,1.80334,0.00130168,0.00130168,0.00130168
11,134.339,2.51484,1.64571,1.83352,0.71713,0.69676,0.72891,0.48836,2.47536,1.54545,1.83238,0.00128753,0.00128753,0.00128753
12,144.817,2.48689,1.6069,1.81959,0.69947,0.58746,0.63671,0.40526,2.97651,2.24777,1.98956,0.00127338,0.00127338,0.00127338
13,155.197,2.45016,1.59627,1.82377,0.6393,0.62783,0.6443,0.41218,2.83458,1.87271,1.94302,0.00125923,0.00125923,0.00125923
14,166.459,2.42805,1.55374,1.81595,0.72321,0.67578,0.72533,0.48868,2.56588,1.62676,1.83874,0.00124509,0.00124509,0.00124509
15,177.989,2.44291,1.51549,1.82216,0.70619,0.67443,0.68883,0.44138,2.82627,1.98521,1.9361,0.00123094,0.00123094,0.00123094
16,189.653,2.36302,1.47592,1.79789,0.73358,0.67459,0.71111,0.42471,2.97594,1.93785,1.94442,0.00121679,0.00121679,0.00121679
17,200.058,2.39514,1.50398,1.80605,0.76031,0.72547,0.77523,0.49494,2.70344,1.46249,1.88345,0.00120265,0.00120265,0.00120265
18,210.433,2.31671,1.45218,1.80148,0.74565,0.68307,0.72778,0.51718,2.28988,1.74069,1.78774,0.0011885,0.0011885,0.0011885
19,220.848,2.30505,1.41568,1.78645,0.65803,0.56855,0.60316,0.39211,2.87232,2.61209,1.98468,0.00117435,0.00117435,0.00117435
20,231.301,2.27816,1.38259,1.78536,0.65152,0.66946,0.66453,0.40847,3.16037,1.91837,2.06955,0.00116021,0.00116021,0.00116021
21,241.625,2.28094,1.37005,1.78179,0.7738,0.75322,0.79686,0.55145,2.40154,1.34436,1.79393,0.00114606,0.00114606,0.00114606
22,253.146,2.25989,1.35131,1.78349,0.75653,0.76536,0.80587,0.54818,2.37838,1.36584,1.79323,0.00113191,0.00113191,0.00113191
23,263.817,2.23902,1.33097,1.77292,0.67292,0.75127,0.77515,0.50699,2.54963,1.35678,1.83175,0.00111776,0.00111776,0.00111776
24,274.012,2.20364,1.30255,1.76633,0.76344,0.79485,0.82851,0.57373,2.11828,1.18805,1.73036,0.00110362,0.00110362,0.00110362
25,284.958,2.18795,1.28223,1.76352,0.77501,0.78969,0.82091,0.58012,2.13123,1.20631,1.73045,0.00108947,0.00108947,0.00108947
26,296.315,2.20345,1.31692,1.76202,0.65356,0.66722,0.67231,0.41273,3.05779,1.79467,2.00142,0.00107532,0.00107532,0.00107532
27,306.667,2.23348,1.30878,1.77156,0.71496,0.70959,0.73242,0.46422,2.99101,1.73919,2.03232,0.00106118,0.00106118,0.00106118
28,316.875,2.19093,1.26516,1.76536,0.69828,0.71403,0.74453,0.4808,2.60949,1.62562,1.86794,0.00104703,0.00104703,0.00104703
29,327.205,2.13812,1.22842,1.75235,0.81431,0.80587,0.8357,0.58417,2.19474,1.23541,1.74466,0.00103288,0.00103288,0.00103288
